name,team,position,cost,tot_points,games_played,start_prob
Alisson,LIV,GKP,5.5,176,36,1
Lloris,TOT,GKP,5.5,158,38,1
Ederson,MCI,GKP,5.5,155,37,1
Sa,WOL,GKP,5,146,37,1
Fabianski,WHU,GKP,5,136,37,1
Ramsdale,ARS,GKP,5,135,34,1
De Gea,MUN,GKP,5,132,38,1
Schmeichel,LEI,GKP,5,131,37,1
Mendy,CHE,GKP,5,130,34,1
Pope,NEW,GKP,5,130,36,1
Arnold,LIV,DEF,7.5,208,32,1
Cancelo,MCI,DEF,7,201,36,1
Robertson,LIV,DEF,7,186,29,1
Van Dijk,LIV,DEF,6.5,183,36,1
Matip,LIV,DEF,6,170,31,1
Laporte,MCI,DEF,6,160,33,1
Cash,AVL,DEF,5,147,38,1
Gabriel ,ARS,DEF,5,146,35,1
James,CHE,DEF,6,141,26,1
Dias,MCI,DEF,6,141,29,1
Coady,WOL,DEF,5,138,38,1
Dier,TOT,DEF,5,132,35,1
Silva,CHE,DEF,5.5,128,32,1
Alonso,CHE,DEF,5.5,128,28,0.9
Salah,LIV,MID,13,265,35,1
Son,TOT,MID,12,258,35,1
Bowen,WHU,MID,8.5,206,36,1
De Bruyne,MCI,MID,12,196,30,1
Maddison,LEI,MID,8,181,35,1
Saka,ARS,MID,8,179,38,1
Mount,CHE,MID,8,169,32,1
Sterling,CHE,MID,10,163,30,1
Ward-Prouse,SOU,MID,6.5,159,36,1
Bernado,MCI,MID,7,155,35,0.95
Fernandes,MUN,MID,10,151,36,1
Zaha,CRY,MID,7,150,33,1
Gallagher,CHE,MID,6,140,34,0.9
Smith-Rowe,ARS,MID,6,125,33,0.95
Odegaard,ARS,MID,6.5,131,36,1
Kane,TOT,FWD,11.5,192,37,1
Jota,LIV,FWD,9,175,35,0.8
Antonio,WHU,FWD,7.5,140,36,1
Toney,BRE,FWD,7,139,33,1
Vardy,LEI,FWD,9.5,133,25,0.95
Watkins,AVL,FWD,7.5,131,35,1
Jesus,ARS,FWD,8,120,20,1
Mbeumo,BRE,FWD,6,119,35,1
Havertz,CHE,FWD,8,112,29,1
Adams,SOU,FWD,6.5,103,30,1
Haaland,MCI,FWD,11.5,190,35,1
Foden,MCI,MID,8,155,28,1
Nketiah,ARS,FWD,7,105,15,0.9
Darwin,LIV,FWD,9,160,35,0.95
Scamacca,WHU,FWD,7,120,34,0.95
Kulusevski,TOT,MID,8,99,18,1
Coutinho,AVL,MID,7,83,19,1
Koulibaly,CHE,DEF,5.5,130,32,1
Perisic,TOT,DEF,5.5,115,25,1
Castagne,LEI,DEF,4.5,75,27,1
Cucurella,BHA,DEF,5,126,35,1
Broja,CHE,FWD,5.5,92,32,0.9
Edouard,CRY,FWD,5.5,87,28,1
Daka,LEI,FWD,6,70,23,1
Martinelli,ARS,MID,6,110,29,1
Neto,WOL,MID,5.5,22,13,1
Diaz,LIV,MID,8,64,13,1
Rashford,MUN,MID,6.5,63,25,1
Guaita,CRY,GKP,4.5,119,30,1
Pickford,EVE,GKP,4.5,116,35,1
Sanchez,BHA,GKP,4.5,126,37,1
Anderson,CRY,DEF,4.5,124,34,1
Mings,AVL,DEF,4.5,118,36,1
White,ARS,DEF,4.5,107,32,1
Tomiyasu,ARS,DEF,4.5,75,21,1
Soucek,WHU,MID,5.5,114,35,1
Rice,WHU,MID,5,95,36,1
Luiz,AVL,MID,5,88,34,1
Schlupp,CRY,MID,5,86,32,1
Mateta,CRY,FWD,5.5,61,22,1
Gelhardt,LEE,FWD,5.5,43,20,1
Greenwood,LEE,FWD,4.5,15,7,1
